Resource,Scientific cluster or domain,Topic,Software quality dimensions,Resource type,Notes,Title,URL,Description,Keywords,Scientific Topics,Resource type(s),Licence,Status,DOI,Version,Authors,Contributors,Target audiences,Prerequisites,Competency level,Learning objectives,Date created,Date modified,Date published,Nodes,External resources
"The Turing
Way’s “Guide for
Reproducible Research”, part of the The Turing Way: A handbook
for reproducible, ethical and collaborative research",General,,"FAIRness, Flexibility, Maintainability, Reliability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,"The Turing
Way’s “Guide for
Reproducible Research”, part of the The Turing Way: A handbook
for reproducible, ethical and collaborative research",https://the-turing-way.netlify.app/reproducible-research/reproducible-research,"This guide covers topics related to skills, tools and best practices for research reproducibility.","version control, git, licensing, reproducible environments, documentation, quality, testing, continuous integration, static code analysis",,,,,,,,,,,,,,,,,
"The Turing Way: A handbook for reproducible, ethical and collaborative research",General,,"FAIRness, Flexibility, Maintainability, Reliability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",Duplicated with #19,"The Turing Way: A handbook for reproducible, ethical and collaborative research",https://the-turing-way.netlify.app/index.html,Duplicated with #19,,,,,,,,,,,,,,,,,,
“How Git Works” course on Pluralsight,General,,"Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,“How Git Works” course on Pluralsight,https://www.pluralsight.com/courses/how-git-works,"This course is for developers and system administrators who want to really understand Git. Whether you just started using Git, or you've been using it every day for months - this course will give you the knowledge you need to become a Git master.","version, control, git, github",,,,,,,,,,,,,,,,,
Version Control with Git,General,,"Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,Version Control with Git,https://swcarpentry.github.io/git-novice/,,"version, control, git, github",,,,,,,,,,,,,,,,,
Introduction to User Experience Design,General,,Interaction capability,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to User Experience Design,https://www.ebi.ac.uk/training/online/courses/user-experience-design/what-is-user-experience-design/,,,,,,,,,,,,,,,,,,,
GPU Programming,General,,Performance efficiency,"individual training resource (course, handbook, article, guide, tutorial)",,GPU Programming,https://carpentries-incubator.github.io/lesson-gpu-programming/introduction.html,,,,,,,,,,,,,,,,,,,
Parallel Programming in Python,General,,Performance efficiency,"individual training resource (course, handbook, article, guide, tutorial)",,Parallel Programming in Python,https://carpentries-incubator.github.io/lesson-parallel-python/,,,,,,,,,,,,,,,,,,,
"GPU Programming: When, Why and How?",General,,Performance efficiency,"individual training resource (course, handbook, article, guide, tutorial)",,"GPU Programming: When, Why and How?",https://enccs.github.io/gpu-programming/,,,,,,,,,,,,,,,,,,,
CUDA training,General,,Performance efficiency,"individual training resource (course, handbook, article, guide, tutorial)",,CUDA training,https://enccs.github.io/cuda/,,,,,,,,,,,,,,,,,,,
OpenACC training,General,,Performance efficiency,"individual training resource (course, handbook, article, guide, tutorial)",,OpenACC training,https://enccs.github.io/openacc/,,,,,,,,,,,,,,,,,,,
Introduction to Julia,General,,"Interaction capability, Performance efficiency, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Introduction to Julia,https://enccs.github.io/julia-intro/,"This lesson covers the basics of Julia: its syntax, multiple-dispatch paradigm, package development and best practices","programming language, julia",,,,,,,,,,,,,,,,,
Julia for high-performance scientific computing,General,,"Interaction capability, Performance efficiency, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Julia for high-performance scientific computing,https://enccs.github.io/julia-for-hpc/,"This lesson goes through various approaches for writing performant and parallel code, including how to write fast serial code, how to write multithreaded and distributed code, how to run Julia on an HPC system, and how to port Julia code to GPUs.","programming language, julia",,,,,,,,,,,,,,,,,
Julia for high-performance data analytics,General,,"Interaction capability, Performance efficiency, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Julia for high-performance data analytics,https://enccs.github.io/julia-for-hpda/,"This lesson starts with a discussion of working with data in Julia, how to use the DataFrames.jl package and how to visualise data. It then moves on to linear algebra approaches, followed by classical machine learning approaches as well as deep learning methods with an example of scientific ML. Finally, key aspects of regression, time series prediction and analysis is covered.","programming language, julia",,,,,,,,,,,,,,,,,
Programming with Julia,General,,"Interaction capability, Performance efficiency, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Programming with Julia,https://carpentries-incubator.github.io/julia-novice/,,"programming language, julia, packaging, module",,,,,,,,,,,,,,,,,
Automation and Make,General,,"Compatibility, Flexibility, Sustainability, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,Automation and Make,https://swcarpentry.github.io/make-novice/02-makefiles.html,,,,,,,,,,,,,,,,,,,
CMake hands-on workshop,General,,"Flexibility, Compatibility, Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,CMake hands-on workshop,https://enccs.github.io/cmake-workshop/,"This course is for students, researchers, engineers, and programmers that have heard of CMake and want to learn how to use it effectively with projects they are working on. This course assumes no previous experience with CMake. You will have to be familiar with the tools commonly used to build software in your compiled language of choice: C++, C, Fortran.","programming language, cmake, c, c++, testing",,,,,,,,,,,,,,,,,
Version Control with Git,General,,"Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,Version Control with Git,https://swcarpentry.github.io/git-novice/,"Version control is the lab notebook of the digital world: it’s what professionals use to keep track of what they’ve done and to collaborate with other people. Every large software development project relies on it, and most programmers use it for their small jobs as well. And it isn’t just for software: books, papers, small data sets, and anything that changes over time or needs to be shared can and should be stored in a version control system.","version, control, git, github, licensing",,,,,,,,,,,,,,,,,
Software Carpentry: Git Novice lesson,General,,"Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",Duplicated with #35,Software Carpentry: Git Novice lesson,https://swcarpentry.github.io/git-novice,Duplicated with #35,"version, control, git, github, licensing",,,,,,,,,,,,,,,,,
CodeRefinery: Collaborative distributed version control,General,,"Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,CodeRefinery: Collaborative distributed version control,https://coderefinery.github.io/git-collaborative/,We have learned how to work with a Git repository used by a single person. What about sharing and collaborating?,"version, control, git, github",,,,,,,,,,,,,,,,,
CodeRefinery: Introduction to version control,General,,"Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,CodeRefinery: Introduction to version control,https://coderefinery.github.io/git-intro/,Introduction to version control with Git - Why we want to track versions and how to go back in time to a working version,"version, control, git, github",,,,,,,,,,,,,,,,,
Continuous Integration / Continuous Development (CI/CD),General,,"Maintainability, Security, Sustainability, Reliability, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Continuous Integration / Continuous Development (CI/CD),https://hsf-training.github.io/hsf-training-cicd/,"GitLab is a git platform used for code hosting and collaboration. It can be used to automatically run checks and other code or workflows on GitLab’s servers. We’ll learn how to use this to make our code robust to errors, preserved, and reproducible.","gitlab, collaboration, workflow, reproducibility, CI/CD",,,,,,,,,,,,,,,,,
Python Testing and Continuous Integration,General,,"Maintainability, Security, Sustainability, Reliability, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Python Testing and Continuous Integration,https://carpentries-incubator.github.io/python-testing/,"In this lesson we use a Python library called pytest. Basic understanding of Python variables and functions are a necessary prerequisite. Some previous experience with the shell is expected, but isn’t mandatory.","python, pytest, testing, automation, continuous integration, CI/CD",,,,,,,,,,,,,,,,,
Workflows with Python and Git,General,,"Maintainability, Security, Sustainability, Reliability, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,Workflows with Python and Git,https://carpentries-incubator.github.io/swc-ext-python/,,"programming language, python, version control",,,,,,,,,,,,,,,,,
Introduction to Cloud Computing for Genomics,Life sciences,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to Cloud Computing for Genomics,https://datacarpentry.org/cloud-genomics/index.html,,,,,,,,,,,,,,,,,,,
"Software Carpentry: Introduction
to Workflows with Common Workflow Language",General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,"Software Carpentry: Introduction
to Workflows with Common Workflow Language",https://carpentries-incubator.github.io/cwl-novice-tutorial/,,,,,,,,,,,,,,,,,,,
Software Carpentry: Programming with Python,General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,Software Carpentry: Programming with Python,https://swcarpentry.github.io/python-novice-inflammation/index.html,"The best way to learn how to program is to do something useful, so this introduction to Python is built around a common scientific task: data analysis.","programming language, python",,,,,,,,,,,,,,,,,
"Software Carpentry: Plotting and
Programming in Python",General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,"Software Carpentry: Plotting and
Programming in Python",https://swcarpentry.github.io/python-novice-gapminder/index.html,,"programming language, python",,,,,,,,,,,,,,,,,
Level Up your Python,General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,Level Up your Python,https://henryiii.github.io/level-up-your-python/notebooks/0%20Intro.html,A course in intermediate Python for a beginner ready to move up. Binder version and Live WebAssembly version available too!,"programming language, python",,,,,,,,,,,,,,,,,
Library Carpentry: Python Intro for Libraries,General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,Library Carpentry: Python Intro for Libraries,https://librarycarpentry.org/lc-python-intro/,"This lesson is an introduction to programming in Python for library and information workers with little or no previous programming experience. It uses examples that are relevant to a range of library use cases, and is designed as a prerequisite for other Python lessons that will be developed in the future (e.g., web scraping, APIs). The lesson uses the JupyterLab computing environment and Python 3.","programming language, python",,,,,,,,,,,,,,,,,
Building Better Scientific Software in Python,General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,Building Better Scientific Software in Python,https://python-tutorial.dev/201/,"The goal of this tutorial is to expose researchers to several best practices in scientific software engineering that may otherwise take several years to become acquainted with. Though the implementation of these lessons is Python-specific, the essential ideas can be exported to other languages or platforms.","programming language, python, packaging, testing, documentation, logging, performance",,,,,,,,,,,,,,,,,
"Software Carpentry: R for
Reproducible Scientific Analysis",General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,"Software Carpentry: R for
Reproducible Scientific Analysis",https://swcarpentry.github.io/r-novice-gapminder/,The goal of this lesson is to teach novice programmers to write modular code and best practices for using R for data analysis,"programming language, R, reproducibility",,,,,,,,,,,,,,,,,
Introduction to R for Metagenomics,Life sciences,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",Duplicated with #15,Introduction to R for Metagenomics,https://carpentries-lab.github.io/metagenomics-R/,Duplicated with #15,"programming language, R, metagenomics",,,,,,,,,,,,,,,,,
Software Carpentry: Programming with R,General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,Software Carpentry: Programming with R,https://swcarpentry.github.io/r-novice-inflammation/,"The best way to learn how to program is to do something useful, so this introduction to R is built around a common scientific task: data analysis. Our real goal isn’t to teach you R, but to teach you the basic concepts that all programming depends on","programming language, R",,,,,,,,,,,,,,,,,
"Getting Used to R, RStudio, and R Markdown",General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,"Getting Used to R, RStudio, and R Markdown",https://rbasics.netlify.app/,"This material  was written to give people who are new to R, RStudio, and R Markdown the tools they need to begin making their own research reproducible","programming language, R",,,,,,,,,,,,,,,,,
Modern Dive into R and the Tidyverse,General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,Modern Dive into R and the Tidyverse,https://moderndive.netlify.app/,,"programming language, R",,,,,,,,,,,,,,,,,
"Software Carpentry: Programming
with MATLAB",General,,"Functional suitability, Reliability","individual training resource (course, handbook, article, guide, tutorial)",,"Software Carpentry: Programming
with MATLAB",https://swcarpentry.github.io/matlab-novice-inflammation/,"The best way to learn how to program is to do something useful, so this introduction to MATLAB is built around a common scientific task: data analysis. Our real goal isn’t to teach you MATLAB, but to teach you the basic concepts that all programming depends on. ","programming language, MATLAB",,,,,,,,,,,,,,,,,
Introduction to the Internet of Things,General,,,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to the Internet of Things,https://carpentries-incubator.github.io/IoT_arduino_nano/,,,,,,,,,,,,,,,,,,,
Automated Testing - Preventing Yourself and others from Breaking your Functioning Code,General,,"Functional suitability, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,Automated Testing - Preventing Yourself and others from Breaking your Functioning Code,https://coderefinery.github.io/testing/,"This lesson will talk about the places it’s useful for research code, and how easy it can be. We will discuss why testing often needs to be part of the software development cycle and how such a cycle can be implemented. We will see how automated testing works and practice designing and writing tests.","testing, continuous integration, automation, python",,,,,,,,,,,,,,,,,
How to Document your Research Software,General,,Sustainability,"individual training resource (course, handbook, article, guide, tutorial)",,How to Document your Research Software,https://coderefinery.github.io/documentation/,This lesson discusses different solutions for implementing and deploying code documentation.,"documentation, readme, readthedocs, github pages",,,,,,,,,,,,,,,,,
CodeRefinery: Software Citation,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,CodeRefinery: Software Citation,https://coderefinery.github.io/social-coding/software-citation/,,"citation, publishing, releasing, fair",,,,,,,,,,,,,,,,,
CodeRefinery: Software Licensing,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,CodeRefinery: Software Licensing,https://coderefinery.github.io/social-coding/software-licensing/,A course on software licensing,license,,,,,,,,,,,,,,,,,
SQL for Humanities,Social sciences and humanities,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,SQL for Humanities,https://carpentries-incubator.github.io/sql-humanities-lesson/,,,,,,,,,,,,,,,,,,,
SQL for Business,Social sciences and humanities,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,SQL for Business,https://carpentries-incubator.github.io/sql-business/,,,,,,,,,,,,,,,,,,,
"Software Carpentry: Database and
SQL",General,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,"Software Carpentry: Database and
SQL",https://swcarpentry.github.io/sql-novice-survey/,,,,,,,,,,,,,,,,,,,
"CodeRefinery: Jupyter Notebooks - A tool to write
and share executable notebooks and data visualization",General,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,"CodeRefinery: Jupyter Notebooks - A tool to write
and share executable notebooks and data visualization",https://coderefinery.github.io/jupyter/,,,,,,,,,,,,,,,,,,,
Python Packaging,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,Python Packaging,https://carpentries-incubator.github.io/python_packaging/,This lesson teaches how to create and publish packages in Python,"package, packaging, release, python",,,,,,,,,,,,,,,,,
Managing Academic Software Development,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,Managing Academic Software Development,https://southampton-rsg.github.io/swc-project-novice/,"This workshop teaches the basics of managing project development and release, using the project management tools on the repository hosting site GitHub (and is applicable to repositories hosted on GitLab).","release, git, github, gitlab, identifiers, version",,,,,,,,,,,,,,,,,
"Software Carpentry: Managing
Research Software Projects",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"Software Carpentry: Managing
Research Software Projects",https://swcarpentry.github.io/managing-research-software-projects/,"Introduction to the basics of software project management with a particular focus on the sorts of projects commonly found in research settings. Participants should have previously worked on programs containing thousands or tens of thousands of lines of code, and be regular users of basic tools like the Unix shell and a version control system. Building on that foundation, this course will discuss:","license, version control, continous integration, robust, code review, testing",,,,,,,,,,,,,,,,,
Software Carpentry: Unix Shell,General,,"Functional suitability, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,Software Carpentry: Unix Shell,https://swcarpentry.github.io/shell-novice/index.html,,,,,,,,,,,,,,,,,,,
"Reproducible
Computational Environments using Containers: Introduction to Singularity","General, Particle physics & astronomy",,"FAIRness, Flexibility, Maintainability, Reliability, Security, Sustainability","curriculum (set of several training courses, a learning pathway) ",,"Reproducible
Computational Environments using Containers: Introduction to Singularity",https://carpentries-incubator.github.io/singularity-introduction/,"This lesson provides an introduction to using the Singularity container platform. Singularity is particularly suited to running containers on infrastructure where users don’t have administrative privileges, for example shared infrastructure such as High Performance Computing (HPC) clusters.","container, reproducible environment, reproducibility, singularity, HPC",,,,,,,,,,,,,,,,,
"Reproducible
Computational Environments Using Containers: Introduction to Docker","General, Particle physics & astronomy",,"FAIRness, Flexibility, Sustainability, Security, Reliability, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,"Reproducible
Computational Environments Using Containers: Introduction to Docker",https://carpentries-incubator.github.io/docker-introduction/,"This material aims to introduce the use of Docker containers with the goal of using them to effect reproducible computational environments. Such environments are useful for ensuring reproducible research outputs, for example.","docker, container, reproducible environment, reproducibility, singularity",,,,,,,,,,,,,,,,,
"Introduction
to Docker and Podman","General, Particle physics & astronomy",,"Sustainability, Security, Reliability, Maintainability, FAIRness, Flexibility","individual training resource (course, handbook, article, guide, tutorial)",,"Introduction
to Docker and Podman",https://hsf-training.github.io/hsf-training-docker/index.html,An introduction to using Docker and Podman as software development tools.,"docker, container, reproducible environment, podman, reproducibility",,,,,,,,,,,,,,,,,
Welcome to Python Packages,General,,"Functional suitability, Interaction capability, Maintainability, Reliability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,Welcome to Python Packages,https://py-pkgs.org/welcome,"Python packages are a core element of the Python programming language and are how you create organized, reusable, and shareable code in Python. Python Packages is an open source book that describes modern and efficient workflows for creating Python packages.","programming language, python, packaging, package, release",,,,,,,,,,,,,,,,,
Tools and Practices for FAIR Research Software,General,,"Sustainability, FAIRness, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,Tools and Practices for FAIR Research Software,https://carpentries-incubator.github.io/fair-research-software/,"This short course is teaching tools and practices for producing and sharing quality, sustainable and FAIR (Findable, Accessible, Interoperable and Reusable) research software to support open and reproducible research.","FAIR, documentation, reproducible environment, readable code, documentation",,,,,,,,,,,,,,,,,
Modern Scientific C++,"Particle physics & astronomy, General",,"Functional suitability, Performance efficiency, Reliability, Flexibility","individual training resource (course, handbook, article, guide, tutorial)",,Modern Scientific C++,https://github.com/chavid/ModernScientificCpp,"This training material addresses modern scientific computing in C++, for people who already have some experience in legacy C++ programming (before C++ 11)","programming language, c++",,,,,,,,,,,,,,,,,
Cpp17 Initiation for Pythonists,"Particle physics & astronomy, General",,"Functional suitability, Performance efficiency, Reliability, Flexibility, Compatibility","individual training resource (course, handbook, article, guide, tutorial)",,Cpp17 Initiation for Pythonists,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/cpp17-initiation-for-pythonists,,,,,,,,,,,,,,,,,,,
Python Traps and Pitfalls,"Particle physics & astronomy, General",,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Python Traps and Pitfalls,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/python-traps,"A closer look at the basic mechanisms of the Python language, beyond what can be guessed by blindly copying and pasting examples, in order to avoid the most common traps and pitfalls","programming language, python",,,,,,,,,,,,,,,,,
Introduction to Machine Learning,"Particle physics & astronomy, General",,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to Machine Learning,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/machinelearning,,,,,,,,,,,,,,,,,,,
Introduction to Deep Learning,"Particle physics & astronomy, General",,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to Deep Learning,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/deeplearning,,,,,,,,,,,,,,,,,,,
Make your code more efficient,"Particle physics & astronomy, General",,Performance efficiency,"individual training resource (course, handbook, article, guide, tutorial)",,Make your code more efficient,https://informatique-des-deux-infinis.pages.in2p3.fr/pheniics/make-your-code-more-efficient/,Material for a two-mornings performance optimization training,"performance, benchmarking, profiling, optimization",,,,,,,,,,,,,,,,,
Make your code more robust,"Particle physics & astronomy, General",,"Reliability, Maintainability, Sustainability, Flexibility","individual training resource (course, handbook, article, guide, tutorial)",,Make your code more robust,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/robust-programming,Tools and methodologies to write code that is easier to understand and maintain.,"readable code, testing, documentation, continuous integration",,,,,,,,,,,,,,,,,
Web Interfaces Development in a Nutshell,"Particle physics & astronomy, General",,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Web Interfaces Development in a Nutshell,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/web-interfaces-development-in-a-nutshell,,,,,,,,,,,,,,,,,,,
Git Survival Guide,"Particle physics & astronomy, General",,"Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,Git Survival Guide,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/git-survival-guide,This guide offers a curated collection of exercises aimed at helping you learn and practice Git commands and workflows effectively.,"version control, git, gitlab",,,,,,,,,,,,,,,,,
GitLab and GitLab CI/CD,"Particle physics & astronomy, General",,"Sustainability, Security, Reliability, Maintainability, Functional suitability","individual training resource (course, handbook, article, guide, tutorial)",,GitLab and GitLab CI/CD,https://gitlab.in2p3.fr/informatique-des-deux-infinis/pheniics/gitlab-and-gitlab-ci-cd/-/tree/main?ref_type=heads,A course designed to provide you with a comprehensive understanding of GitLab and GitLab CI/CD,"task automation, gitlab, CI/CD, continuous integration",,,,,,,,,,,,,,,,,
